originalTid,ovr,pick,pot,round,skills,tid,year,pid
17,48,7,64,1,[],17,2015,279
3,32,29,58,1,[],3,2012,280
17,29,25,57,1,[],17,2006,281
0,29,17,54,2,[],0,2013,282
0,28,16,52,2,[],0,2006,283
11,36,14,54,2,[],11,2012,284
4,46,2,69,1,[],4,2009,285
29,30,2,54,2,[],29,2013,286
16,52,3,69,1,[],16,2011,287
2,21,23,48,2,[],2,2003,288
21,34,9,63,1,[],21,2012,289
0,28,16,60,1,[],0,2006,290
16,26,9,55,2,[],16,2009,291
28,38,17,59,1,['3'],28,2015,292
4,58,4,66,1,[],4,2011,293
22,45,4,64,1,['B'],22,2012,294
21,39,23,59,1,[],21,2008,295
25,38,23,57,1,[],25,2011,296
29,36,2,65,1,[],29,2013,297
19,36,22,59,1,[],19,2009,298
10,40,5,64,1,[],10,2015,299
5,22,12,55,2,[],5,2006,300
21,28,4,57,2,[],21,2010,301
10,27,29,48,2,[],10,2008,302
15,32,28,59,1,[],15,2010,303
1,33,11,63,1,[],1,2017,304
11,31,8,56,2,[],11,2011,305
13,38,29,58,1,[],13,2013,306
8,35,25,51,2,[],8,2014,307
27,36,13,60,1,[],27,2012,308
16,33,16,54,2,[],16,2015,309
22,31,22,53,2,[],22,2011,310
7,43,28,58,1,[],7,2011,311
14,25,8,54,2,[],14,2013,312
18,47,4,67,1,"['A', 'B', 'Dp']",18,2009,313
3,33,17,59,1,[],3,2014,314
20,35,1,57,2,[],20,2017,315
15,37,2,66,1,[],15,2012,316
26,41,4,65,1,[],26,2007,317
4,39,5,67,1,[],4,2004,318
9,34,26,58,1,[],9,2009,319
2,30,16,54,2,[],2,2013,320
16,33,9,61,1,[],16,2013,321
23,27,11,55,2,[],23,2010,322
26,33,16,60,1,[],26,2008,323
12,34,20,54,2,[],12,2013,324
12,31,25,60,1,[],12,2010,325
14,26,20,49,2,[],14,2011,326
0,31,17,64,1,[],0,2011,327
11,36,5,68,1,['R'],11,2009,328
27,29,13,55,2,[],27,2012,329
29,46,1,71,1,['B'],29,2009,330
2,33,16,58,1,[],2,2013,331
18,28,8,55,2,[],18,2010,332
-1,33,0,47,0,[],-1,2012,333
12,36,22,61,1,[],12,2008,334
26,46,4,64,1,['B'],26,2013,335
6,42,6,58,2,[],6,2010,336
15,40,10,63,1,[],15,2007,337
7,34,22,54,2,[],7,2010,338
7,42,4,58,2,[],7,2014,339
2,23,8,56,2,[],2,2017,340
6,31,27,57,1,[],6,2017,341
4,37,30,55,1,[],4,2013,342
26,38,13,56,2,[],26,2011,343
16,38,5,63,1,[],16,2016,344
15,43,2,56,2,[],15,2015,345
9,26,26,51,2,[],9,2008,346
17,26,7,54,2,[],17,2015,347
12,35,13,62,1,[],12,2017,348
28,45,6,64,1,[],28,2008,349
5,50,7,64,1,['R'],5,2011,350
24,28,16,54,2,[],24,2014,351
13,26,23,50,2,[],13,2010,352
18,42,4,59,2,[],18,2009,353
16,31,17,55,2,[],16,2010,354
19,32,20,60,1,[],19,2007,355
25,34,8,56,2,[],25,2009,356
26,46,17,60,1,[],26,2017,357
5,28,12,54,2,[],5,2007,358
21,20,28,46,2,[],21,2014,359
20,49,3,71,1,['B'],20,2009,360
7,34,25,59,1,[],7,2015,361
0,56,5,67,1,"['A', 'Dp']",0,2010,362
21,28,29,46,2,[],21,2017,363
23,36,12,61,1,[],23,2012,364
25,47,8,64,1,[],25,2009,365
6,26,6,55,2,[],6,2011,366
24,32,7,62,1,[],24,2013,367
22,21,27,45,2,[],22,2009,368
20,31,21,59,1,[],20,2011,369
13,41,21,60,1,[],13,2016,370
-1,28,0,45,0,[],-1,2011,371
17,32,14,54,2,[],17,2014,372
10,32,23,58,1,[],10,2017,373
17,39,13,61,1,[],17,2009,374
5,28,9,55,2,[],5,2010,375
4,26,4,56,2,[],4,2011,376
7,39,14,61,1,[],7,2009,377
8,38,10,62,1,[],8,2011,378
6,26,24,58,1,[],6,2006,379
29,24,18,51,2,[],29,2014,380
6,39,16,64,1,[],6,2009,381
11,28,6,55,2,[],11,2014,382
21,48,4,68,1,[],21,2010,383
21,33,9,57,2,[],21,2012,384
12,45,1,75,1,['A'],12,2011,385
0,34,5,58,2,[],0,2010,386
3,33,9,62,1,[],3,2008,387
23,33,7,67,1,[],23,2009,388
16,32,12,61,1,[],16,2008,389
13,34,23,59,1,[],13,2012,390
28,31,21,53,2,[],28,2012,391
7,36,22,58,1,[],7,2013,392
26,32,14,60,1,[],26,2015,393
21,29,19,61,1,[],21,2007,394
24,43,7,64,1,['B'],24,2003,395
16,26,5,55,2,[],16,2016,396
13,34,12,55,2,[],13,2014,397
1,48,2,71,1,['B'],1,2006,398
23,25,8,55,2,[],23,2006,399
0,29,15,56,2,[],0,2017,400
6,32,8,62,1,[],6,2015,401
20,35,18,54,2,[],20,2013,402
26,28,14,54,2,[],26,2015,403
15,35,14,54,2,[],15,2017,404
27,31,25,58,1,[],27,2004,405
4,32,12,56,2,[],4,2017,406
12,27,13,54,2,[],12,2017,407
7,28,21,54,2,[],7,2017,408
12,37,8,63,1,['B'],12,2002,409
5,26,23,49,2,[],5,2009,410
22,32,24,60,1,[],22,2010,411
11,30,20,58,1,[],11,2015,412
8,32,17,61,1,[],8,2007,413
3,25,21,51,2,[],3,2007,414
8,47,4,66,1,[],8,2008,415
8,26,6,54,2,[],8,2013,416
8,35,7,62,1,[],8,2016,417
7,34,11,61,1,[],7,2006,418
1,26,11,55,2,[],1,2017,419
9,32,10,61,1,[],9,2015,420
20,25,9,54,2,[],20,2015,421
28,35,19,54,2,[],28,2017,422
23,34,21,58,1,[],23,2014,423
9,35,2,57,2,[],9,2014,424
2,34,17,61,1,[],2,2004,425
-1,24,0,42,0,[],-1,2013,426
5,34,19,59,1,[],5,2003,427
0,28,11,52,2,[],0,2003,428
11,29,14,55,2,[],11,2004,429
17,45,5,63,1,[],17,2005,430
-1,31,0,44,0,[],-1,2017,431
9,34,20,60,1,[],9,2010,432
27,39,6,56,2,[],27,2016,433
29,27,16,56,2,[],29,2016,434
27,32,11,56,2,[],27,2014,435
-1,20,0,42,0,[],-1,2006,436
1,57,6,65,1,"['3', 'B', 'Ps']",1,2009,437
1,23,27,50,2,[],1,2014,438
8,29,5,55,2,[],8,2017,439
12,41,8,55,2,[],12,2014,440
9,31,10,55,2,[],9,2015,441
-1,26,0,43,0,[],-1,2014,442
11,35,14,62,1,[],11,2004,443
5,24,30,46,2,[],5,2016,444
8,45,6,64,1,[],8,2015,445
22,28,6,55,2,[],22,2017,446
4,28,4,55,2,[],4,2016,447
9,31,26,57,1,[],9,2008,448
24,31,1,56,2,[],24,2008,449
28,30,6,55,2,[],28,2008,450
12,30,17,61,1,[],12,2009,451
8,33,18,61,1,[],8,2010,452
28,39,15,54,2,[],28,2010,453
6,53,6,65,1,"['3', 'A', 'Dp']",6,2011,454
13,36,24,51,2,[],13,2011,455
15,29,13,52,2,[],15,2014,456
15,26,28,46,2,[],15,2016,457
-1,27,0,47,0,[],-1,2017,458
0,30,6,55,2,[],0,2007,459
1,29,8,55,2,[],1,2007,460
3,33,9,57,2,[],3,2008,461
15,28,1,56,2,[],15,2006,462
16,32,23,58,1,[],16,2014,463
16,29,16,59,1,[],16,2015,464
18,35,20,60,1,[],18,2016,465
20,27,30,48,2,[],20,2012,466
25,30,8,62,1,[],25,2016,467
24,33,16,60,1,[],24,2014,468
2,35,20,58,1,[],2,2014,469
28,22,26,48,2,[],28,2014,470
-1,27,0,44,0,[],-1,2017,471
18,25,18,52,2,[],18,2017,472
23,26,24,50,2,[],23,2017,473
17,34,14,60,1,[],17,2008,474
-1,24,0,38,0,[],-1,2010,475
28,23,25,52,2,[],28,2011,476
3,34,12,60,1,[],3,2013,477
14,37,26,50,2,[],14,2017,478
24,48,12,63,1,[],24,2009,479
2,44,14,61,1,[],2,2007,480
15,33,29,47,2,[],15,2009,481
12,51,3,67,1,['3'],12,2004,482
-1,18,0,43,0,[],-1,2013,483
24,34,12,55,2,[],24,2015,484
22,41,4,64,1,[],22,2005,485
22,45,1,57,2,[],22,2014,486
14,31,20,59,1,[],14,2011,487
12,36,15,60,1,[],12,2003,488
20,32,22,59,1,[],20,2003,489
15,49,2,68,1,['B'],15,2004,490
20,31,20,60,1,[],20,2008,491
27,37,26,59,1,[],27,2011,492
26,33,30,56,1,[],26,2004,493
22,42,16,61,1,[],22,2007,494
1,31,24,58,1,[],1,2005,495
11,35,28,58,1,[],11,2006,496
25,32,5,57,2,[],25,2006,497
23,28,24,57,1,[],23,2013,498
19,30,3,55,2,[],19,2014,499
-1,22,0,48,0,[],-1,2017,500
17,29,27,53,2,[],17,2013,501
-1,19,0,36,0,[],-1,2015,502
1,30,11,56,2,[],1,2012,503
4,30,18,52,2,['Po'],4,2012,504
13,27,23,51,2,[],13,2012,505
18,24,5,55,2,[],18,2013,506
29,30,27,49,2,[],29,2015,507
-1,22,0,45,0,[],-1,2017,508
20,49,9,64,1,[],20,2000,509
13,28,22,58,1,[],13,2001,510
3,52,1,73,1,['Di'],3,2002,511
23,32,12,54,2,[],23,2012,512
24,25,27,44,2,[],24,2016,513
20,30,18,58,1,[],20,2013,514
7,37,4,68,1,[],7,2004,515
10,40,9,64,1,[],10,2005,516
29,42,3,66,1,['B'],29,2008,517
25,31,27,57,1,[],25,2008,518
-1,21,0,45,0,[],-1,2008,519
2,34,25,50,2,[],2,2009,520
20,43,12,63,1,"['3', 'A', 'Dp']",20,2010,521
13,32,23,60,1,[],13,2010,522
11,39,27,60,1,[],11,2010,523
24,32,3,56,2,['R'],24,2010,524
6,31,21,57,1,[],6,2013,525
23,34,26,59,1,[],23,2016,526
4,48,21,58,1,[],4,2008,527
21,36,19,55,2,[],21,2009,528
6,24,27,48,2,[],6,2017,529
3,32,23,59,1,[],3,2005,530
18,39,20,61,1,[],18,2012,531
11,25,25,49,2,[],11,2013,532
8,35,6,55,2,[],8,2015,533
27,26,23,58,1,[],27,2015,534
17,39,20,59,1,[],17,1999,535
20,30,10,54,2,[],20,2014,536
27,24,28,57,1,[],27,2013,537
27,40,24,59,1,[],27,2007,538
6,32,15,54,2,[],6,2007,539
19,40,1,67,1,['Po'],19,2018,540
16,29,18,62,1,[],16,2018,541
18,37,9,63,1,[],18,2018,542
19,26,2,57,2,[],19,2018,543
14,27,3,57,2,[],14,2018,544
29,23,27,59,1,[],29,2018,545
22,31,24,58,1,[],22,2018,546
10,30,19,61,1,[],10,2018,547
27,27,17,51,2,[],27,2018,548
28,35,14,61,1,[],28,2018,549
15,26,30,46,2,[],15,2018,550
16,22,19,52,2,[],16,2018,551
17,28,20,61,1,[],17,2018,552
13,24,13,53,2,[],13,2018,553
8,27,7,55,2,[],8,2018,554
8,36,6,66,1,[],8,2018,555
25,38,7,64,1,[],25,2018,556
2,36,26,56,1,[],2,2018,557
26,38,3,66,1,[],26,2018,558
6,24,11,54,2,[],6,2018,559
0,28,10,53,2,[],0,2018,560
3,38,8,63,1,[],3,2018,561
-1,20,0,41,0,[],-1,2018,562
7,33,16,61,1,[],7,2018,563
-1,18,0,42,0,[],-1,2018,564
15,33,30,56,1,[],15,2018,565
11,32,23,58,1,[],11,2018,566
12,33,22,59,1,[],12,2018,567
21,28,1,57,2,[],21,2018,568
14,45,2,65,1,[],14,2018,569
27,36,13,61,1,[],27,2018,570
5,30,21,61,1,[],5,2018,571
28,26,14,52,2,[],28,2018,572
1,28,5,54,2,[],1,2018,573
10,28,18,51,2,[],10,2018,574
25,32,6,56,2,[],25,2018,575
3,34,8,55,2,[],3,2018,576
21,51,4,69,1,[],21,2018,577
9,35,29,58,1,[],9,2018,578
17,28,21,54,2,[],17,2018,579
12,30,22,52,2,[],12,2018,580
5,27,20,54,2,[],5,2018,581
7,28,15,55,2,[],7,2018,582
13,42,17,62,1,[],13,2018,583
24,32,16,53,2,[],24,2018,584
23,35,28,59,1,[],23,2018,585
22,31,23,49,2,[],22,2018,586
4,28,25,51,2,[],4,2018,587
23,27,28,49,2,[],23,2018,588
-1,23,0,41,0,[],-1,2018,589
18,34,9,55,2,[],18,2018,590
6,40,12,65,1,[],6,2018,591
-1,22,0,35,0,[],-1,2018,592
1,52,5,65,1,[],1,2018,593
29,29,26,52,2,[],29,2018,594
2,32,27,45,2,[],2,2018,595
20,36,12,55,2,[],20,2018,596
26,41,4,57,2,[],26,2018,597
-1,32,0,42,0,[],-1,2018,598
11,32,24,54,2,[],11,2018,599
9,31,29,43,2,[],9,2018,600
20,47,11,64,1,"['Di', 'Po']",20,2018,601
24,51,15,61,1,[],24,2018,602
0,55,10,65,1,"['Di', 'R']",0,2018,603
4,47,25,58,1,[],4,2018,604
-1,29,0,42,0,[],-1,2018,605
-1,25,0,37,0,[],-1,2018,606
-1,23,0,36,0,[],-1,2018,607
-1,29,0,41,0,[],-1,2018,608
-1,32,0,42,0,[],-1,2018,609
8,27,3,56,2,[],8,2019,610
25,41,4,65,1,[],25,2019,611
11,31,14,60,1,[],11,2019,612
8,47,3,68,1,"['A', 'B', 'Dp', 'Ps']",8,2019,613
23,27,4,56,2,[],23,2019,614
22,31,20,58,1,[],22,2019,615
21,29,21,58,1,[],21,2019,616
10,34,12,61,1,[],10,2019,617
2,30,27,57,1,[],2,2019,618
0,33,29,56,1,[],0,2019,619
14,30,26,57,1,[],14,2019,620
26,30,2,56,2,[],26,2019,621
4,32,15,59,1,[],4,2019,622
20,49,1,73,1,['B'],20,2019,623
7,28,14,53,2,[],7,2019,624
20,26,7,56,2,[],20,2019,625
6,31,22,57,1,[],6,2019,626
29,30,25,57,1,[],29,2019,627
16,24,10,55,2,[],16,2019,628
27,30,23,57,1,[],27,2019,629
5,26,11,55,2,[],5,2019,630
25,29,1,57,2,[],25,2019,631
19,37,10,61,1,[],19,2019,632
13,22,6,57,2,[],13,2019,633
28,31,18,59,1,[],28,2019,634
11,27,17,52,2,[],11,2019,635
23,36,6,66,1,[],23,2019,636
3,36,17,58,1,[],3,2019,637
-1,26,0,42,0,[],-1,2019,638
3,22,16,54,2,[],3,2019,639
24,32,24,57,1,[],24,2019,640
13,37,7,65,1,[],13,2019,641
24,22,23,48,2,[],24,2019,642
-1,21,0,41,0,[],-1,2019,643
1,31,5,55,2,[],1,2019,644
15,34,28,59,1,[],15,2019,645
27,27,24,49,2,[],27,2019,646
5,43,8,66,1,[],5,2019,647
18,40,11,63,1,[],18,2019,648
28,32,19,53,2,[],28,2019,649
18,32,8,57,2,[],18,2019,650
12,31,18,53,2,[],12,2019,651
12,36,19,60,1,[],12,2019,652
4,31,15,54,2,[],4,2019,653
19,33,9,57,2,"['Di', 'Po', 'R']",19,2019,654
-1,26,0,43,0,[],-1,2019,655
17,29,13,55,2,[],17,2019,656
7,38,13,62,1,[],7,2019,657
17,36,16,62,1,[],17,2019,658
15,26,28,45,2,[],15,2019,659
10,34,12,55,2,[],10,2019,660
22,28,20,54,2,[],22,2019,661
-1,18,0,35,0,[],-1,2019,662
26,52,5,67,1,[],26,2019,663
1,57,2,71,1,['Ps'],1,2019,664
-1,29,0,44,0,[],-1,2019,665
9,42,30,56,1,[],9,2019,666
0,28,29,47,2,[],0,2019,667
21,32,21,52,2,[],21,2019,668
-1,25,0,40,0,[],-1,2019,669
14,33,26,45,2,[],14,2019,670
16,49,9,61,1,[],13,2019,671
6,38,22,54,2,[],6,2019,672
-1,25,0,40,0,[],-1,2019,673
2,36,25,47,2,[],2,2019,674
29,33,27,47,2,[],29,2019,675
9,30,30,43,2,[],9,2019,676
-1,24,0,37,0,[],-1,2019,677
-1,32,0,44,0,[],-1,2019,678
-1,23,0,34,0,[],-1,2019,679
24,39,3,67,1,[],24,2020,680
16,29,28,47,2,[],16,2020,681
22,36,10,61,1,[],22,2020,682
8,27,3,56,2,[],8,2020,683
12,32,22,58,1,[],12,2020,684
11,28,17,59,1,[],11,2020,685
7,34,15,59,1,[],7,2020,686
15,30,27,56,1,[],15,2020,687
8,51,2,68,1,['B'],8,2020,688
4,28,4,55,2,[],4,2020,689
7,24,18,53,2,[],7,2020,690
-1,21,0,37,0,[],-1,2020,691
25,37,4,67,1,['A'],25,2020,692
23,34,8,63,1,"['Po', 'R']",23,2020,693
25,30,1,56,2,[],25,2020,694
6,30,7,54,2,[],6,2020,695
18,34,16,58,1,[],18,2020,696
14,30,26,58,1,[],14,2020,697
16,29,28,58,1,[],16,2020,698
6,43,7,61,1,[],6,2020,699
27,24,27,49,2,[],27,2020,700
1,27,5,55,2,[],1,2020,701
10,32,18,58,1,[],10,2020,702
28,26,12,54,2,[],28,2020,703
18,26,17,53,2,[],18,2020,704
1,37,5,63,1,[],1,2020,705
26,35,21,57,1,[],26,2020,706
4,40,1,68,1,[],4,2020,707
15,20,25,50,2,[],15,2020,708
5,31,19,58,1,[],5,2020,709
11,29,15,53,2,[],11,2020,710
10,24,14,54,2,[],10,2020,711
3,31,29,46,2,[],3,2020,712
