loc,year,pid
Guadeloupe,1991,287
USA,1984,288
Sweden,1993,289
USA,1987,290
USA,1990,291
USA,1995,292
USA,1989,293
USA,1992,294
USA,1988,295
USA,1992,296
USA,1994,297
Brazil,1990,298
Latvia,1996,299
France,1987,300
USA,1991,301
USA,1988,302
USA,1991,303
USA,1998,304
USA,1991,305
USA,1992,306
USA,1992,307
USA,1993,308
USA,1994,309
USA,1990,310
USA,1990,311
Sweden,1994,312
USA,1990,313
USA,1995,314
USA,1997,315
USA,1993,316
Kazakhstan,1988,317
USA,1985,318
USA,1990,319
USA,1993,320
USA,1994,321
USA,1991,322
USA,1989,323
Spain,1992,324
Croatia,1991,325
USA,1992,326
USA,1991,327
USA,1990,328
USA,1992,329
Nigeria,1990,330
USA,1994,331
USA,1991,332
USA,1990,333
USA,1988,334
USA,1993,335
Germany,1988,336
USA,1988,337
USA,1989,338
USA,1992,339
USA,1998,340
USA,1998,341
USA,1993,342
USA,1989,343
USA,1997,344
USA,1993,345
USA,1988,346
USA,1996,347
USA,1998,348
USA,1988,349
Scotland,1991,350
USA,1994,351
Lithuania,1991,352
USA,1987,353
USA,1990,354
USA,1988,355
USA,1989,356
USA,1996,357
USA,1988,358
Latvia,1995,359
USA,1989,360
USA,1995,361
Canada,1988,362
USA,1998,363
USA,1993,364
USA,1989,365
USA,1992,366
USA,1994,367
USA,1990,368
USA,1992,369
USA,1995,370
USA,1989,371
Congo,1994,372
USA,1998,373
Serbia,1990,374
USA,1991,375
USA,1992,376
USA,1990,377
USA,1992,378
USA,1987,379
USA,1995,380
Australia,1989,381
USA,1995,382
Senegal,1990,383
Morocco,1992,384
USA,1992,385
USA,1990,386
USA,1989,387
Bahamas,1990,388
USA,1989,389
USA,1993,390
Lithuania,1991,391
USA,1993,392
USA,1996,393
USA,1988,394
USA,1984,395
Ukraine,1997,396
USA,1994,397
USA,1987,398
Nigeria,1987,399
USA,1997,400
USA,1996,401
USA,1992,402
USA,1995,403
USA,1997,404
USA,1985,405
USA,1997,406
Australia,1998,407
USA,1997,408
USA,1983,409
USA,1990,410
USA,1991,411
France,1996,412
USA,1988,413
USA,1988,414
Senegal,1988,415
USA,1994,416
USA,1997,417
USA,1987,418
China,1998,419
USA,1996,420
USA,1996,421
USA,1996,422
USA,1995,423
USA,1994,424
USA,1985,425
USA,1992,426
USA,1984,427
USA,1984,428
USA,1984,429
USA,1986,430
USA,1995,431
USA,1991,432
USA,1995,433
USA,1996,434
USA,1994,435
USA,1987,436
USA,1987,437
USA,1994,438
USA,1998,439
USA,1993,440
USA,1995,441
USA,1992,442
USA,1985,443
USA,1996,444
USA,1995,445
Lithuania,1998,446
USA,1997,447
USA,1989,448
USA,1989,449
USA,1989,450
USA,1990,451
USA,1991,452
USA,1989,453
USA,1990,454
Greece,1989,455
USA,1995,456
USA,1996,457
USA,1997,458
Spain,1988,459
USA,1988,460
USA,1988,461
USA,1987,462
USA,1995,463
USA,1996,464
USA,1996,465
USA,1992,466
USA,1997,467
Bosnia and Herzegovina,1995,468
USA,1995,469
Lithuania,1995,470
USA,1995,471
USA,1998,472
USA,1998,473
USA,1989,474
USA,1990,475
USA,1991,476
USA,1994,477
USA,1995,478
Sudan,1988,479
USA,1987,480
USA,1987,481
USA,1984,482
Netherlands,1994,483
USA,1994,484
USA,1986,485
Canada,1992,486
USA,1992,487
Senegal,1984,488
Lithuania,1984,489
Greece,1984,490
USA,1989,491
USA,1991,492
USA,1985,493
USA,1987,494
USA,1986,495
USA,1986,496
Turkey,1986,497
USA,1994,498
USA,1995,499
USA,1997,500
USA,1992,501
USA,1996,502
USA,1992,503
USA,1992,504
Egypt,1992,505
Germany,1994,506
USA,1994,507
USA,1998,508
USA,1979,509
USA,1982,510
USA,1983,511
USA,1992,512
Turkey,1997,513
Jamaica,1994,514
USA,1985,515
USA,1985,516
Greece,1989,517
USA,1989,518
USA,1989,519
USA,1988,520
USA,1990,521
USA,1991,522
USA,1990,523
USA,1991,524
USA,1994,525
USA,1996,526
USA,1987,527
Virgin Islands,1987,528
USA,1998,529
USA,1986,530
USA,1992,531
USA,1994,532
USA,1995,533
USA,1996,534
USA,1979,535
USA,1995,536
USA,1994,537
USA,1987,538
USA,1987,539
USA,1999,540
USA,1999,541
Greece,1999,542
USA,1999,543
USA,1999,544
USA,1999,545
USA,1999,546
USA,1999,547
USA,1999,548
Senegal,1999,549
USA,1999,550
USA,1999,551
Bosnia and Herzegovina,1999,552
USA,1999,553
USA,1999,554
USA,1999,555
USA,1999,556
USA,1999,557
Canada,1999,558
USA,1999,559
USA,1999,560
USA,1999,561
Nigeria,1999,562
USA,1999,563
USA,1999,564
USA,1999,565
USA,1999,566
USA,1999,567
USA,1999,568
USA,1999,569
USA,1999,570
USA,1999,571
USA,1999,572
USA,1999,573
USA,1999,574
Italy,1998,575
USA,1998,576
USA,1998,577
USA,1998,578
USA,1998,579
USA,1998,580
Spain,1998,581
USA,1998,582
Nigeria,1998,583
USA,1998,584
USA,1998,585
USA,1998,586
Bosnia and Herzegovina,1998,587
USA,1998,588
USA,1998,589
USA,1998,590
USA,1998,591
USA,1998,592
USA,1997,593
USA,1997,594
Canada,1997,595
USA,1997,596
USA,1997,597
USA,1997,598
Spain,1997,599
USA,1997,600
USA,1997,601
USA,1996,602
USA,1996,603
USA,1996,604
Lithuania,1996,605
USA,1996,606
USA,1996,607
USA,1996,608
USA,1996,609
USA,2000,610
USA,2000,611
USA,2000,612
Canada,2000,613
USA,2000,614
Germany,2000,615
Nigeria,2000,616
USA,2000,617
USA,2000,618
USA,2000,619
USA,2000,620
USA,2000,621
Canada,2000,622
USA,2000,623
USA,2000,624
USA,2000,625
USA,2000,626
Macedonia,2000,627
USA,2000,628
USA,2000,629
USA,2000,630
USA,2000,631
USA,2000,632
Canada,2000,633
USA,2000,634
USA,2000,635
USA,2000,636
USA,2000,637
Germany,2000,638
USA,2000,639
Montenegro,2000,640
USA,2000,641
USA,2000,642
USA,2000,643
USA,2000,644
USA,1999,645
USA,1999,646
USA,1999,647
Canada,1999,648
USA,1999,649
USA,1999,650
France,1999,651
USA,1999,652
USA,1999,653
USA,1999,654
USA,1999,655
USA,1999,656
USA,1999,657
USA,1999,658
Greece,1999,659
USA,1999,660
USA,1999,661
Spain,1999,662
USA,1998,663
USA,1998,664
Serbia,1998,665
USA,1998,666
USA,1998,667
USA,1998,668
USA,1998,669
USA,1998,670
USA,1998,671
USA,1997,672
Japan,1997,673
USA,1997,674
USA,1997,675
USA,1997,676
USA,1997,677
Slovenia,1997,678
Ivory Coast,1997,679
USA,2001,680
USA,2001,681
USA,2001,682
Bosnia and Herzegovina,2001,683
USA,2001,684
USA,2001,685
South Korea,2001,686
USA,2001,687
USA,2001,688
Netherlands,2001,689
USA,2001,690
USA,2001,691
Nigeria,2001,692
USA,2001,693
USA,2001,694
USA,2001,695
Bulgaria,2001,696
Puerto Rico,2001,697
USA,2001,698
USA,2001,699
USA,2001,700
China,2001,701
Canada,2001,702
Canada,2001,703
USA,2001,704
USA,2001,705
France,2001,706
USA,2001,707
USA,2001,708
USA,2001,709
USA,2001,710
USA,2001,711
USA,2001,712
USA,2001,713
USA,2001,714
USA,2000,715
USA,2000,716
USA,2000,717
USA,2000,718
USA,2000,719
USA,2000,720
USA,2000,721
USA,2000,722
USA,2000,723
USA,2000,724
USA,2000,725
USA,2000,726
USA,2000,727
USA,2000,728
USA,2000,729
USA,2000,730
USA,2000,731
USA,2000,732
USA,1999,733
USA,1999,734
USA,1999,735
USA,1999,736
USA,1999,737
USA,1999,738
USA,1999,739
USA,1999,740
China,1999,741
USA,1998,742
USA,1998,743
USA,1998,744
USA,1998,745
USA,1998,746
USA,1998,747
USA,1998,748
USA,1998,749
USA,2002,750
USA,2002,751
USA,2002,752
USA,2002,753
USA,2002,754
Austria,2002,755
USA,2002,756
USA,2002,757
USA,2002,758
USA,2002,759
USA,2002,760
USA,2002,761
Jamaica,2002,762
USA,2002,763
USA,2002,764
USA,2002,765
Serbia,2002,766
USA,2002,767
USA,2002,768
USA,2002,769
Nigeria,2002,770
USA,2002,771
USA,2002,772
USA,2002,773
USA,2002,774
USA,2002,775
USA,2002,776
USA,2002,777
Nigeria,2002,778
Serbia,2002,779
USA,2002,780
Italy,2002,781
USA,2002,782
USA,2002,783
USA,2002,784
Canada,2001,785
USA,2001,786
USA,2001,787
USA,2001,788
USA,2001,789
USA,2001,790
USA,2001,791
Montenegro,2001,792
Bosnia and Herzegovina,2001,793
USA,2001,794
USA,2001,795
USA,2001,796
Senegal,2001,797
USA,2001,798
USA,2001,799
USA,2001,800
USA,2001,801
USA,2001,802
USA,2000,803
USA,2000,804
USA,2000,805
USA,2000,806
USA,2000,807
USA,2000,808
USA,2000,809
USA,2000,810
USA,2000,811
Canada,1999,812
USA,1999,813
USA,1999,814
USA,1999,815
USA,1999,816
USA,1999,817
USA,1999,818
USA,1999,819
USA,2003,820
USA,2003,821
USA,2003,822
USA,2003,823
USA,2003,824
Bosnia and Herzegovina,2003,825
Australia,2003,826
USA,2003,827
USA,2003,828
USA,2003,829
USA,2003,830
USA,2003,831
Croatia,2003,832
USA,2003,833
Congo,2003,834
Serbia,2003,835
USA,2003,836
Congo,2003,837
USA,2003,838
Croatia,2003,839
USA,2003,840
USA,2003,841
USA,2003,842
USA,2003,843
USA,2003,844
USA,2003,845
USA,2003,846
USA,2003,847
USA,2003,848
USA,2003,849
Germany,2003,850
USA,2003,851
Germany,2003,852
USA,2003,853
USA,2003,854
USA,2002,855
USA,2002,856
USA,2002,857
USA,2002,858
USA,2002,859
Australia,2002,860
France,2002,861
USA,2002,862
USA,2002,863
USA,2002,864
Congo,2002,865
Canada,2002,866
USA,2002,867
Australia,2002,868
USA,2002,869
USA,2002,870
USA,2002,871
Serbia,2002,872
Senegal,2001,873
France,2001,874
USA,2001,875
Serbia,2001,876
Georgia,2001,877
USA,2001,878
Italy,2001,879
USA,2001,880
Senegal,2001,881
USA,2000,882
USA,2000,883
USA,2000,884
Benin,2000,885
USA,2000,886
USA,2000,887
USA,2000,888
USA,2000,889
USA,2004,890
USA,2004,891
USA,2004,892
USA,2004,893
USA,2004,894
Senegal,2004,895
USA,2004,896
USA,2004,897
USA,2004,898
USA,2004,899
Italy,2004,900
USA,2004,901
USA,2004,902
USA,2004,903
USA,2004,904
USA,2004,905
USA,2004,906
USA,2004,907
USA,2004,908
USA,2004,909
Romania,2004,910
USA,2004,911
USA,2004,912
Bulgaria,2004,913
USA,2004,914
Lithuania,2004,915
Serbia,2004,916
USA,2004,917
USA,2004,918
USA,2004,919
USA,2004,920
USA,2004,921
USA,2004,922
USA,2004,923
USA,2004,924
USA,2003,925
USA,2003,926
USA,2003,927
USA,2003,928
USA,2003,929
USA,2003,930
Bosnia and Herzegovina,2003,931
USA,2003,932
USA,2003,933
USA,2003,934
USA,2003,935
USA,2003,936
Serbia,2003,937
USA,2003,938
USA,2003,939
USA,2003,940
USA,2003,941
USA,2003,942
USA,2002,943
Spain,2002,944
USA,2002,945
Serbia,2002,946
USA,2002,947
USA,2002,948
USA,2002,949
USA,2002,950
Serbia,2002,951
USA,2001,952
USA,2001,953
USA,2001,954
USA,2001,955
USA,2001,956
USA,2001,957
Finland,2001,958
USA,2001,959
USA,2005,960
USA,2005,961
USA,2005,962
Canada,2005,963
USA,2005,964
USA,2005,965
USA,2005,966
USA,2005,967
USA,2005,968
USA,2005,969
USA,2005,970
USA,2005,971
USA,2005,972
France,2005,973
USA,2005,974
USA,2005,975
USA,2005,976
USA,2005,977
USA,2005,978
USA,2005,979
Bosnia and Herzegovina,2005,980
USA,2005,981
USA,2005,982
USA,2005,983
USA,2005,984
USA,2005,985
Serbia,2005,986
Serbia,2005,987
Canada,2005,988
USA,2005,989
Serbia,2005,990
USA,2005,991
USA,2005,992
USA,2005,993
USA,2005,994
USA,2004,995
USA,2004,996
USA,2004,997
USA,2004,998
USA,2004,999
USA,2004,1000
Croatia,2004,1001
USA,2004,1002
USA,2004,1003
USA,2004,1004
USA,2004,1005
USA,2004,1006
France,2004,1007
USA,2004,1008
USA,2004,1009
USA,2004,1010
USA,2004,1011
USA,2004,1012
USA,2003,1013
USA,2003,1014
Cameroon,2003,1015
Turkey,2003,1016
USA,2003,1017
USA,2003,1018
USA,2003,1019
USA,2003,1020
USA,2003,1021
USA,2002,1022
USA,2002,1023
USA,2002,1024
USA,2002,1025
USA,2002,1026
Serbia,2002,1027
USA,2002,1028
USA,2002,1029
USA,2006,1030
USA,2006,1031
USA,2006,1032
Nigeria,2006,1033
USA,2006,1034
Australia,2006,1035
USA,2006,1036
USA,2006,1037
USA,2006,1038
USA,2006,1039
USA,2006,1040
Spain,2006,1041
Germany,2006,1042
USA,2006,1043
USA,2006,1044
USA,2006,1045
USA,2006,1046
USA,2006,1047
USA,2006,1048
Croatia,2006,1049
USA,2006,1050
China,2006,1051
USA,2006,1052
USA,2006,1053
Guadeloupe,2006,1054
USA,2006,1055
USA,2006,1056
USA,2006,1057
USA,2006,1058
USA,2006,1059
Spain,2006,1060
USA,2006,1061
Spain,2006,1062
USA,2006,1063
USA,2006,1064
Serbia,2005,1065
USA,2005,1066
Nigeria,2005,1067
USA,2005,1068
USA,2005,1069
USA,2005,1070
USA,2005,1071
USA,2005,1072
USA,2005,1073
USA,2005,1074
USA,2005,1075
USA,2005,1076
Bulgaria,2005,1077
Spain,2005,1078
USA,2005,1079
USA,2005,1080
USA,2005,1081
USA,2005,1082
USA,2004,1083
USA,2004,1084
USA,2004,1085
USA,2004,1086
Italy,2004,1087
USA,2004,1088
USA,2004,1089
USA,2004,1090
USA,2004,1091
USA,2003,1092
USA,2003,1093
USA,2003,1094
USA,2003,1095
USA,2003,1096
USA,2003,1097
USA,2003,1098
USA,2003,1099
Germany,2007,1100
USA,2007,1101
USA,2007,1102
USA,2007,1103
USA,2007,1104
USA,2007,1105
USA,2007,1106
USA,2007,1107
Canada,2007,1108
USA,2007,1109
USA,2007,1110
USA,2007,1111
USA,2007,1112
USA,2007,1113
USA,2007,1114
USA,2007,1115
USA,2007,1116
Spain,2007,1117
USA,2007,1118
USA,2007,1119
Canada,2007,1120
USA,2007,1121
USA,2007,1122
USA,2007,1123
USA,2007,1124
South Africa,2007,1125
USA,2007,1126
USA,2007,1127
USA,2007,1128
USA,2007,1129
Canada,2007,1130
USA,2007,1131
USA,2007,1132
USA,2007,1133
Angola,2007,1134
USA,2006,1135
USA,2006,1136
Ireland,2006,1137
USA,2006,1138
USA,2006,1139
Senegal,2006,1140
Greece,2006,1141
USA,2006,1142
USA,2006,1143
USA,2006,1144
USA,2006,1145
USA,2006,1146
USA,2006,1147
USA,2006,1148
USA,2006,1149
USA,2006,1150
USA,2006,1151
USA,2006,1152
USA,2005,1153
USA,2005,1154
USA,2005,1155
Canada,2005,1156
USA,2005,1157
Finland,2005,1158
USA,2005,1159
USA,2005,1160
USA,2005,1161
Russia,2004,1162
USA,2004,1163
USA,2004,1164
USA,2004,1165
USA,2004,1166
Ukraine,2004,1167
USA,2004,1168
USA,2004,1169
Spain,2008,1170
USA,2008,1171
USA,2008,1172
USA,2008,1173
USA,2008,1174
USA,2008,1175
USA,2008,1176
USA,2008,1177
USA,2008,1178
USA,2008,1179
USA,2008,1180
USA,2008,1181
USA,2008,1182
USA,2008,1183
USA,2008,1184
USA,2008,1185
USA,2008,1186
USA,2008,1187
USA,2008,1188
USA,2008,1189
USA,2008,1190
USA,2008,1191
USA,2008,1192
USA,2008,1193
USA,2008,1194
USA,2008,1195
USA,2008,1196
USA,2008,1197
USA,2008,1198
USA,2008,1199
USA,2008,1200
USA,2008,1201
USA,2008,1202
USA,2008,1203
USA,2008,1204
USA,2007,1205
USA,2007,1206
USA,2007,1207
USA,2007,1208
USA,2007,1209
USA,2007,1210
USA,2007,1211
USA,2007,1212
USA,2007,1213
USA,2007,1214
USA,2007,1215
USA,2007,1216
USA,2007,1217
USA,2007,1218
USA,2007,1219
USA,2007,1220
USA,2007,1221
USA,2007,1222
USA,2006,1223
Canada,2006,1224
USA,2006,1225
USA,2006,1226
USA,2006,1227
Spain,2006,1228
USA,2006,1229
Turkey,2006,1230
Canada,2006,1231
USA,2005,1232
USA,2005,1233
USA,2005,1234
Argentina,2005,1235
USA,2005,1236
USA,2005,1237
USA,2005,1238
Israel,2005,1239
USA,2009,1240
Ghana,2009,1241
USA,2009,1242
USA,2009,1243
USA,2009,1244
USA,2009,1245
USA,2009,1246
USA,2009,1247
USA,2009,1248
USA,2009,1249
USA,2009,1250
USA,2009,1251
USA,2009,1252
USA,2009,1253
USA,2009,1254
USA,2009,1255
Russia,2009,1256
USA,2009,1257
USA,2009,1258
USA,2009,1259
USA,2009,1260
USA,2009,1261
Italy,2009,1262
USA,2009,1263
USA,2009,1264
Serbia,2009,1265
France,2009,1266
USA,2009,1267
USA,2009,1268
USA,2009,1269
Latvia,2009,1270
USA,2009,1271
USA,2009,1272
Serbia,2009,1273
USA,2009,1274
USA,2008,1275
USA,2008,1276
USA,2008,1277
USA,2008,1278
Croatia,2008,1279
USA,2008,1280
Brazil,2008,1281
USA,2008,1282
Serbia,2008,1283
USA,2008,1284
USA,2008,1285
Norway,2008,1286
Nigeria,2008,1287
USA,2008,1288
USA,2008,1289
USA,2008,1290
Brazil,2008,1291
Spain,2008,1292
USA,2007,1293
USA,2007,1294
USA,2007,1295
USA,2007,1296
USA,2007,1297
USA,2007,1298
USA,2007,1299
USA,2007,1300
Canada,2007,1301
France,2006,1302
USA,2006,1303
USA,2006,1304
USA,2006,1305
USA,2006,1306
USA,2006,1307
USA,2006,1308
USA,2006,1309
USA,2010,1310
Bosnia and Herzegovina,2010,1311
Bosnia and Herzegovina,2010,1312
USA,2010,1313
USA,2010,1314
USA,2010,1315
USA,2010,1316
USA,2010,1317
USA,2010,1318
USA,2010,1319
France,2010,1320
China,2010,1321
USA,2010,1322
USA,2010,1323
USA,2010,1324
USA,2010,1325
USA,2010,1326
USA,2010,1327
USA,2010,1328
USA,2010,1329
USA,2010,1330
USA,2010,1331
USA,2010,1332
USA,2010,1333
USA,2010,1334
USA,2010,1335
USA,2010,1336
USA,2010,1337
USA,2010,1338
USA,2010,1339
USA,2010,1340
USA,2010,1341
USA,2010,1342
USA,2010,1343
Poland,2010,1344
USA,2009,1345
USA,2009,1346
USA,2009,1347
USA,2009,1348
USA,2009,1349
USA,2009,1350
Canada,2009,1351
USA,2009,1352
Ukraine,2009,1353
France,2009,1354
USA,2009,1355
USA,2009,1356
Poland,2009,1357
Spain,2009,1358
USA,2009,1359
USA,2009,1360
USA,2009,1361
USA,2009,1362
USA,2008,1363
Switzerland,2008,1364
USA,2008,1365
USA,2008,1366
USA,2008,1367
USA,2008,1368
France,2008,1369
USA,2008,1370
USA,2008,1371
USA,2007,1372
USA,2007,1373
USA,2007,1374
USA,2007,1375
USA,2007,1376
USA,2007,1377
USA,2007,1378
USA,2007,1379
USA,2011,1380
USA,2011,1381
Turkey,2011,1382
USA,2011,1383
Macedonia,2011,1384
Czech Republic,2011,1385
USA,2011,1386
USA,2011,1387
USA,2011,1388
USA,2011,1389
Slovenia,2011,1390
USA,2011,1391
USA,2011,1392
USA,2011,1393
USA,2011,1394
USA,2011,1395
USA,2011,1396
USA,2011,1397
USA,2011,1398
USA,2011,1399
USA,2011,1400
Macedonia,2011,1401
USA,2011,1402
USA,2011,1403
USA,2011,1404
USA,2011,1405
USA,2011,1406
Greece,2011,1407
USA,2011,1408
Greece,2011,1409
USA,2011,1410
USA,2011,1411
USA,2011,1412
Uruguay,2011,1413
USA,2011,1414
USA,2010,1415
USA,2010,1416
USA,2010,1417
USA,2010,1418
USA,2010,1419
USA,2010,1420
USA,2010,1421
Canada,2010,1422
USA,2010,1423
USA,2010,1424
Spain,2010,1425
USA,2010,1426
USA,2010,1427
USA,2010,1428
USA,2010,1429
Canada,2010,1430
Senegal,2010,1431
USA,2010,1432
USA,2009,1433
USA,2009,1434
Croatia,2009,1435
USA,2009,1436
USA,2009,1437
Jamaica,2009,1438
Switzerland,2009,1439
USA,2009,1440
Brazil,2009,1441
USA,2008,1442
USA,2008,1443
USA,2008,1444
USA,2008,1445
USA,2008,1446
USA,2008,1447
Cameroon,2008,1448
USA,2008,1449
USA,2012,1450
USA,2012,1451
USA,2012,1452
USA,2012,1453
USA,2012,1454
USA,2012,1455
USA,2012,1456
USA,2012,1457
Greece,2012,1458
USA,2012,1459
USA,2012,1460
USA,2012,1461
USA,2012,1462
Senegal,2012,1463
USA,2012,1464
USA,2012,1465
USA,2012,1466
USA,2012,1467
USA,2012,1468
USA,2012,1469
USA,2012,1470
Belarus,2012,1471
USA,2012,1472
USA,2012,1473
USA,2012,1474
Italy,2012,1475
USA,2012,1476
USA,2012,1477
USA,2012,1478
USA,2012,1479
USA,2012,1480
USA,2012,1481
USA,2012,1482
USA,2012,1483
USA,2012,1484
USA,2011,1485
USA,2011,1486
USA,2011,1487
USA,2011,1488
USA,2011,1489
Serbia,2011,1490
USA,2011,1491
USA,2011,1492
USA,2011,1493
USA,2011,1494
Nigeria,2011,1495
USA,2011,1496
USA,2011,1497
Hungary,2011,1498
USA,2011,1499
USA,2011,1500
USA,2011,1501
USA,2011,1502
USA,2010,1503
USA,2010,1504
USA,2010,1505
USA,2010,1506
USA,2010,1507
USA,2010,1508
Canada,2010,1509
USA,2010,1510
USA,2010,1511
USA,2009,1512
USA,2009,1513
Croatia,2009,1514
USA,2009,1515
USA,2009,1516
USA,2009,1517
USA,2009,1518
USA,2009,1519
USA,2013,1520
USA,2013,1521
USA,2013,1522
USA,2013,1523
Lithuania,2013,1524
USA,2013,1525
USA,2013,1526
USA,2013,1527
Canada,2013,1528
USA,2013,1529
USA,2013,1530
USA,2013,1531
USA,2013,1532
USA,2013,1533
USA,2013,1534
USA,2013,1535
USA,2013,1536
USA,2013,1537
USA,2013,1538
USA,2013,1539
Croatia,2013,1540
USA,2013,1541
USA,2013,1542
USA,2013,1543
Canada,2013,1544
USA,2013,1545
USA,2013,1546
Egypt,2013,1547
USA,2013,1548
USA,2013,1549
Greece,2013,1550
USA,2013,1551
USA,2013,1552
USA,2013,1553
USA,2013,1554
USA,2012,1555
USA,2012,1556
USA,2012,1557
USA,2012,1558
USA,2012,1559
USA,2012,1560
USA,2012,1561
USA,2012,1562
Portugal,2012,1563
USA,2012,1564
USA,2012,1565
USA,2012,1566
Croatia,2012,1567
USA,2012,1568
USA,2012,1569
USA,2012,1570
USA,2012,1571
Spain,2012,1572
USA,2011,1573
USA,2011,1574
USA,2011,1575
USA,2011,1576
USA,2011,1577
Finland,2011,1578
USA,2011,1579
USA,2011,1580
USA,2011,1581
Croatia,2010,1582
USA,2010,1583
USA,2010,1584
Bosnia and Herzegovina,2010,1585
USA,2010,1586
USA,2010,1587
USA,2010,1588
USA,2010,1589
USA,2014,1590
USA,2014,1591
USA,2014,1592
USA,2014,1593
USA,2014,1594
USA,2014,1595
USA,2014,1596
USA,2014,1597
USA,2014,1598
USA,2014,1599
